step,hard,temp,i_ptm,energy,stage,block_id,protocol
1,0,1.0,0.09,7.38,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
2,0,1.0,0.1,7.24,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
3,0,1.0,0.12,7.03,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
4,0,1.0,0.14,6.89,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
5,0,1.0,0.09,6.8,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
6,0,1.0,0.09,6.66,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
7,0,1.0,0.09,6.59,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
8,0,1.0,0.11,6.48,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
9,0,1.0,0.09,6.51,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
10,0,1.0,0.1,6.52,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
11,0,1.0,0.08,6.59,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
12,0,1.0,0.09,6.63,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
13,0,1.0,0.11,6.54,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
14,0,1.0,0.08,6.37,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
15,0,1.0,0.1,6.5,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
16,0,1.0,0.1,6.55,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
17,0,1.0,0.14,6.88,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
18,0,1.0,0.18,6.55,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
19,0,1.0,0.09,6.24,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
20,0,1.0,0.1,6.31,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
21,0,1.0,0.13,6.04,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
22,0,1.0,0.18,5.46,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
23,0,1.0,0.12,5.17,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
24,0,1.0,0.16,5.1,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
25,0,1.0,0.15,5.27,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
26,0,1.0,0.11,4.81,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
27,0,1.0,0.18,4.81,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
28,0,1.0,0.1,4.67,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
29,0,1.0,0.19,4.75,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
30,0,1.0,0.23,4.41,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
31,0,1.0,0.18,3.83,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
32,0,1.0,0.22,3.52,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
33,0,1.0,0.12,3.55,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
34,0,1.0,0.21,3.65,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
35,0,1.0,0.26,3.22,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
36,0,1.0,0.21,3.01,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
37,0,1.0,0.15,2.73,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
38,0,1.0,0.12,2.65,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
39,0,1.0,0.18,2.7,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
40,0,1.0,0.23,2.54,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
41,0,1.0,0.16,2.32,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
42,0,1.0,0.22,2.33,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
43,0,1.0,0.18,1.92,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
44,0,1.0,0.18,2.02,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
45,0,1.0,0.17,1.64,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
46,0,1.0,0.17,1.67,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
47,0,1.0,0.13,1.28,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
48,0,1.0,0.23,1.19,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
49,0,1.0,0.19,1.07,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
50,0,1.0,0.22,0.65,stage_1a,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
51,0,1.0,0.22,0.75,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
52,0,1.0,0.25,0.72,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
53,0,1.0,0.22,0.12,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
54,0,1.0,0.17,-0.11,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
55,0,1.0,0.18,-0.58,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
56,0,1.0,0.23,-0.52,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
57,0,1.0,0.21,-0.61,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
58,0,1.0,0.25,-1.02,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
59,0,1.0,0.19,-1.49,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
60,0,1.0,0.23,-1.58,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
61,0,1.0,0.21,-1.27,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
62,0,1.0,0.24,-1.2,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
63,0,1.0,0.18,-1.7,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
64,0,1.0,0.19,-2.03,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
65,0,1.0,0.23,-2.26,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
66,0,1.0,0.21,-2.44,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
67,0,1.0,0.24,-2.23,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
68,0,1.0,0.22,-2.55,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
69,0,1.0,0.27,-2.78,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
70,0,1.0,0.25,-2.98,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
71,0,1.0,0.25,-2.99,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
72,0,1.0,0.28,-3.02,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
73,0,1.0,0.22,-2.98,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
74,0,1.0,0.22,-3.04,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
75,0,1.0,0.22,-3.14,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
76,0,1.0,0.27,-3.31,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
77,0,1.0,0.27,-3.39,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
78,0,1.0,0.24,-3.35,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
79,0,1.0,0.26,-3.29,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
80,0,1.0,0.24,-3.2,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
81,0,1.0,0.31,-3.39,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
82,0,1.0,0.29,-3.45,stage_1b,gen_energy_A__pa_pb1_wide_292363_0.out__0,gen_energy_A
