model,section,split,n_energy,pearson_energy,spearman_energy,n_sel,pearson_sel,n_abund_F2,pearson_abund_F2,n_abund_F3,pearson_abund_F3
A_baseline1_composition,A_selection_only,train,126,-0.23092013599306396,-0.25811473565804277,126,0.23777928102360799,330,0.5136165195607849,136,0.5924172519570213
A_baseline1_composition,A_selection_only,test,19,0.05214765014564971,-0.22631578947368422,19,-0.06325233137826823,54,0.20302314778345554,19,0.23252212007298267
A_baseline2_onehot,A_selection_only,train,126,-0.6591006394257956,-0.6451263592050993,126,0.6567697050828454,330,0.5154298477759125,136,0.6573083510187235
A_baseline2_onehot,A_selection_only,test,19,-0.010475826464231284,-0.16842105263157894,19,0.00040787305276159046,54,0.1389569251982928,19,0.15521821463531574
A_mlp_production,A_selection_only,train,126,-0.8357847153376187,-0.8395200599925009,126,0.846782536269975,330,0.5919507517319521,136,0.7155863677831434
A_mlp_production,A_selection_only,test,19,-0.33923973074449504,-0.32105263157894737,19,0.3391811267332998,54,0.35382942103808385,19,-0.22044182630002118
B_baseline1_composition,B_both,train,126,-0.09063306737728771,-0.05035470566179227,126,0.09219260618253479,330,0.08148260866534404,136,-0.0028497114755215006
B_baseline1_composition,B_both,test,19,-0.12290669103720885,-0.14912280701754385,19,0.12231099221815542,54,0.19399651151810252,19,0.13511098949420314
B_baseline2_onehot,B_both,train,126,-0.07005067084617186,-0.024443944506936634,126,0.07058134317779126,330,0.17394596076158161,136,-0.15701369519403435
B_baseline2_onehot,B_both,test,19,-0.3617481415867725,-0.30526315789473685,19,0.36017049659803513,54,-0.0032929906818337257,19,-0.14178921456223012
